Value,Feature
0.6884723208769699,entity
0.5793958328723434,screaming
0.572122084305384,contra
0.572122084305384,ceptive
0.5374901918522328,secondly
0.48917017138920615,phones
0.4825923605616145,solved
0.47704016250196857,cancer
0.4211443333116983,mobilization
0.35238577327308496,newborn
0.3390306673903569,oche
0.31109748789144764,tightening
0.3030210840740107,furious
0.29411696944689114,shi
0.2923966128550126,anyway
0.2837534093546521,roaming
0.27455627042047304,pregnancy
0.27256406897857743,waivers
0.27161550454441297,tower
0.2647664327406257,geo
0.26207369067216957,california
0.26054964243385303,welcomed
0.2600055789590163,cum
0.2576716362034044,nominees
0.2558512709605598,whatsoever
0.2553139605650264,stu
0.25407217988195574,basics
0.2507426836182898,hurting
0.2505485590241675,conclude
0.2496042323893763,unveiled
0.24735314776436915,announcements
0.24337356007149458,visitation
0.23456383618016977,grants
0.23157899581356967,eligible
0.22565299223552437,ensures
0.22501641377933634,piloted
0.22055546544990756,eighth
0.21905630790323719,reproductive
0.21662986157970104,promised
0.21465796392012418,entities
0.2131838414054366,violent
0.21127072459682686,directive
0.21067618429487836,ranging
0.20737543869389718,[
0.203881207861921,abortion
0.19692571633006284,presentation
0.19596744980044922,mustard
0.1957682211217887,urged
0.18896283567907357,tendency
0.18789137065881722,contemporary
0.18515022362604333,professionals
0.18378970576288362,teen
0.17983475163257695,minded
0.17827528044908134,restaurant
0.17756032677203767,uing
0.17682342694733963,uance
0.1748724943909248,briefly
0.16798149959967357,falls
0.16777582818686387,rare
0.1648318267980372,errors
0.16285833334785682,superintendent
0.16266810585625385,answers
0.16236277461457013,lausanne
0.16070087902701471,bare
0.158714616721225,pone
0.15691866072457689,pubs
0.15639806946069185,gor
0.15624332338566266,ei
0.15572158696250823,county
0.15531344000927555,alive
0.15503322515632345,regulatory
0.15476033812292456,ria
0.15465730129010746,philanthropy
0.15380266716367455,rop
0.152300147302107,nies
0.1513783735879568,engage
0.1492654258178822,supporter
0.148217285024073,prescription
0.1431409051287142,primary
0.14238194629948248,mean
0.14208698024100858,vested
0.14133616751353859,unnecessary
0.14083254259504346,fee
0.14074964259706635,fo
0.14045158693923995,inatory
0.140400170116118,licensing
0.1402831781260835,estimate
0.13943942690776048,submitted
0.13788699197522006,please
0.13786531951724557,ld
0.1369342233916077,tells
0.13660722418970805,tread
0.13613368546112942,detonated
0.13610929954022352,wall
0.1345400345061676,omi
0.13413688089371634,postmaster
0.13389810101731056,today
0.13389281174003895,freddie
0.13388783229068052,cheated
0.1329297299958329,terrifying
0.13239716588968153,ele
0.12969774675661738,nerve
0.12909082586731718,catch
0.12805812056693766,deliveries
0.12780679912646287,reflection
0.12768217416557115,tragic
0.12765489147950748,distinctions
0.1275278541934049,affectionately
0.12545043526801297,literally
0.12486935168977312,traveled
0.12483328981502467,resides
0.12461611631615448,earned
0.12403298803984149,forgive
0.12380144407520688,tism
0.12350952620307439,amazing
0.12285713326197234,bread
0.12252235871385801,populations
0.1221643877933294,parishes
0.12200421695295427,defeats
0.12109723204587312,latter
0.12076356050806893,opposed
0.12037215361814725,illegal
0.12009647727946623,mer
0.11973112004097913,fertile
0.11900199370286202,libraries
0.11881638480959417,ila
0.11799733993364747,size
0.11789523102606406,survey
0.1178665942618262,expenses
0.11781562789376043,walks
0.11746812100248753,riots
0.11725663957435373,cells
0.11680913840098367,chip
0.11679972599271089,ot
0.11650591364487022,containment
0.1164300295536857,sold
0.11607714719938235,urn
0.11473909764715673,ency
0.114248662028863,alarm
0.11399250234806407,ments
0.11386978392542921,features
0.11376825366708472,deadline
0.11367257124309021,amount
0.11339711581293473,brilliant
0.11258654492098275,decisive
0.1123357880458213,genius
0.11223208162947326,baby
0.11218650290193517,guilty
0.11213169409476431,convince
0.11212384114744932,ated
0.11174605195695009,civic
0.11157190195485636,chairs
0.11072786429379916,differently
0.11066120251582437,ea
0.11047182502406994,ratings
0.1103099065290056,trees
0.11024328118538274,widely
0.11003235591674132,icing
0.10974400484226889,?
0.1097210862493665,outlaw
0.10971602143721004,microphone
0.1096876337692775,glasses
0.10962604094198362,bra
0.10905947298119417,doom
0.10903175032236784,insanity
0.10898012333687812,substantive
0.10893493714231083,spare
0.1085772724656781,network
0.10847779917747784,tribal
0.10803166996410304,ked
0.10797686458058203,disposition
0.10736163653645331,ient
0.10728424600970288,testified
0.10727291869001841,formula
0.10724761252844128,disperse
0.10698990138543628,periods
0.10698492361305893,bilateral
0.10692098089730001,beat
0.10654209762929123,underworld
0.1062046674227492,visions
0.106094229985699,density
0.10589011118199848,ians
0.10579335978186666,camp
0.10528423472795027,think
0.10485096719806508,automatically
0.10467507604660249,favorable
0.10406689536307474,discussion
0.10313996485450512,hun
0.10292146834318722,universe
0.10276456788082414,dee
0.10258027444823778,ceo
0.10257288472696302,responses
0.10235082248434457,speeding
0.10210142117169983,reverend
0.10172774148648639,ort
0.10156944932407373,rallied
0.10017244816520143,accepted
0.09994221497486376,insignificant
0.09979609745107265,adults
0.0993167708317439,lethal
0.09920638319439336,cing
0.09897588623712919,rk
0.0984314068854313,parade
0.09840962260837652,pilots
0.09831222866409497,ue
0.09798712433250274,ladies
0.09787687737623307,adopted
0.09786521248817681,whoever
0.09748008469718576,computer
0.0974616189080407,simplest
0.09742867762079607,witnesses
0.09728119327416791,overcoming
0.09725016431943258,educated
0.0972435985511166,desperate
0.09642898765478702,ocating
0.0964015590673219,acknowledge
0.09638491486221964,tter
0.09634679028068105,triggers
0.09628462463321272,evade
0.09622949006551079,years
0.09610438544033384,mild
0.09579238369495505,rangle
0.09574575314140872,setting
0.09536107543641884,ropriation
