Value,Feature
1.4615667963967394,.
1.210524645414584,","
1.1772203409177582,the
1.1548267836355524,and
0.8806499612424081,of
0.8771345959409199,to
0.38579133178348307,which
0.2926156094621114,our
0.2786654807041695,or
0.26584151009695917,but
0.25404130101048283,in
0.24155428870321893,i
0.1863202409949623,for
0.1792645992834675,this
0.1766228085090945,only
0.17141846685109038,by
0.147903610676761,with
0.14338467713241154,will
0.14147710299495372,attack
0.13166337586757862,it
0.13084037981529328,made
0.1279235918039589,not
0.1248943730438225,pressed
0.12347872089099121,measures
0.11808929956078873,we
0.1156477330487659,has
0.11564148346845253,congress
0.11058327026461652,
0.1048668102120622,ask
0.10375029939375358,also
0.1027529799450039,a
0.10076310906302094,that
0.09749646048254033,been
0.09631700321123926,legislation
0.09444459161055516,americans
0.0932238520729341,achievement
0.09320885816912028,forces
0.09163029092512565,intend
0.0897376884814306,consider
0.08869146548156664,op
0.08616141983413633,possible
0.08579546458524988,ble
0.08516131689848325,his
0.084946884919969,increase
0.08317028907824509,population
0.08278472956859101,modern
0.08210468634916536,hope
0.07977612221064663,imi
0.07932782678349748,cooperation
0.07839235424695234,nec
0.07782404764101258,is
0.07751235974908144,war
0.07600638609470745,development
0.07483529078138118,their
0.07405621920394213,those
0.07268866825857284,abundance
0.072545377631555,tax
0.07247735681534058,up
0.07049692986549794,lives
0.07000518142575443,authority
0.06973374547100283,tonight
0.06914469938816448,community
0.0688468652601306,-
0.06760216445689954,speed
0.06636908059086355,man
0.06453842798570963,menace
0.06388513752365049,patriotic
0.06294361966928813,requirements
0.06274304389953611,path
0.062039113903214926,penalties
0.06068142721077785,courts
0.059236202374650604,cise
0.0584601799237412,necessary
0.05808917681376141,rights
0.05775249654294613,are
0.057366625888819245,must
0.05723661361662198,increased
0.056386898766817725,national
0.056109462976437915,s
0.055856395778278715,justice
0.05560581394576963,voluntary
0.05533810738913092,who
0.055070574180857715,us
0.05299218746832643,equal
0.05252679943738203,ess
0.05247343154858597,farm
0.05131727246044847,have
0.05115036836789781,labor
0.051008984562393715,great
0.05092557009898652,walks
0.05053748009743153,fulfillment
0.050495290626284745,poverty
0.04972084435545493,now
0.04948036953346387,use
0.04907738536225323,state
0.04840381669589926,$
0.04752436526649924,as
0.047348603969752164,do
0.047328333140259055,overcome
0.047247179734485445,rural
0.04609802736396945,effective
0.044996674316130116,work
0.04498496712422838,taxes
0.04495802892799533,telephone
0.04491824408461093,vo
0.04491824408461093,una
0.04491824408461093,ida
0.044901611321574206,every
0.04479404309475449,payments
0.04464247483668907,districts
0.04411139954150707,federal
0.043981943265153534,certain
0.04383606691465386,next
0.043133371518617375,inflation
0.04284954537106726,if
0.042452619178112785,propose
0.04224208368415988,reductions
0.04210322876081474,wipe
0.041928564901423326,balance
0.04133914108473,ly
0.04110971464271701,ago
0.040877220500638946,ir
0.040877220500638946,effectively
0.040877220500638946,re
0.040877220500638946,para
0.040877220500638946,enable
0.04087722050063894,threaten
0.04087722050063894,strikes
0.04087722050063894,interest
0.04087722050063894,deal
0.04087722050063894,damage
0.040606503770191815,businessmen
0.040574511081815035,deficit
0.04057437908816794,liberation
0.04023522041792632,revenues
0.039526356234600546,needed
0.03883756099209503,life
0.03875869293317802,out
0.03814778929868348,against
0.03803895111280617,improper
0.03782833945827757,skin
0.03759643753621039,continue
0.03686514867897189,12
0.03624721441649925,vietnam
0.0356711864442699,they
0.03566805248945058,sit
0.03562921979506434,so
0.03557360206586976,people
0.03504788411447597,states
0.035047884114475965,laws
0.034149398357209676,you
0.03378923909335673,alone
0.033626426310659825,wage
0.03353420271034396,ex
0.03351644810878265,con
0.03351644810878265,quality
0.03351644810878265,fine
0.03306233881846226,on
0.03281682773052249,percent
0.03270475644557801,without
0.03244366453010844,vi
0.03229317461846207,local
0.03228859707822325,additional
0.031690962224174356,try
0.03137266421001923,past
0.030720671752925033,require
0.03022397695811339,from
0.029916439191056854,days
0.029824661912514174,believe
0.029784508603429145,one
0.029703031946397552,growth
0.029354689313030313,together
0.029249538772360584,altogether
0.02805018309073374,date
0.027946838844896096,improve
0.02713141751472061,over
0.02691658438428443,year
0.02622093961555766,gil
0.026026191706781138,lowers
0.025682153697137583,savings
0.024260907411540415,murder
0.024260907411540415,strengthen
0.024052180031851306,give
0.023703983502948403,through
0.023680536443389077,whose
0.023664432136645208,midst
0.023590506154759956,power
0.023087051192153762,be
0.022930946256479512,third
0.022886956177948673,make
0.022816378270908724,cost
0.022786405363906692,limited
0.022646010030488106,restore
0.022440467663586067,exercising
0.02239460709988024,expenditures
0.02239460709988024,because
0.02239460709988024,military
0.022394607099880236,again
0.022394607099880233,desirable
0.022228314864615517,int
0.0217476305330291,let
0.02173381853712829,working
0.021695025127083167,years
0.02156282466055552,billion
0.021531969935316503,toward
0.02150484970424689,should
0.020595315033371087,america
0.02059509367662661,automobile
0.02037395757158647,new
0.020219862569550606,temporarily
0.02003810152914881,other
0.019877349262889782,nation
0.01985049212996666,non
0.01985049212996666,cr
0.01985049212996666,nator
0.01985049212996666,y
0.01985049212996666,dis
0.01985049212996666,jury
0.01985049212996666,selection
0.01944902975159879,civil
0.0193414671623124,less
0.019163416603061367,collection
0.018950373560804784,surge
0.018875933885852576,prosperity
0.018830848913807263,success
0.018565027410185952,distress
0.01849896378935853,within
0.018318315717135367,stifled
0.01811811365209426,yourselves
0.018110207545500516,2
0.018024604150500237,government
0.017559609299892552,society
0.017523942057237986,right
0.017523942057237982,14
0.017523942057237982,section
0.017523942057237982,31
0.017523942057237982,all
0.017523942057237982,act
0.017523942057237982,hartley
0.017523942057237982,taft
0.017523942057237982,repeal
0.01740933595833721,prevent
0.01740933595833721,both
0.01740933595833721,restraint
0.01740933595833721,price
0.01740933595833721,business
0.01740933595833721,essential
0.01740933595833721,exercise
0.016997903958185567,already
0.016694202420894505,reduced
0.016344694762590456,crime
0.016314987768898243,breeds
0.01621709035232262,improved
0.01621709035232262,education
0.01621709035232262,teacher
0.01621709035232262,adequate
0.01621709035232262,corps
0.01621709035232262,teams
0.01621709035232262,better
0.01621709035232262,health
0.01621709035232262,examinations
0.01621709035232262,physical
0.01621709035232262,available
0.01621709035232262,resources
0.01621709035232262,medical
0.016217090352322616,benefits
0.016217090352322616,insurance
0.016217090352322616,minimum
0.016217090352322616,unemployment
0.016217090352322616,expand
0.016199839034830466,individual
0.016044679907406878,no
0.015743637943437083,level
0.015509678266178788,being
0.015509678266178788,supports
0.015509678266178788,tools
0.015509678266178788,progress
0.015509678266178788,first
0.015509678266178788,provides
0.015509678266178788,well
0.015311109051654354,appropriations
0.015311109051654354,return
0.015311109051654354,hesitate
0.015099646498480071,ally
0.015081843196708633,distinguished
0.015059203282221212,seen
0.014901939657773089,think
0.014725958647157547,can
0.014576034091337694,before
0.014513928690657624,establish
0.014193353680218766,leads
0.014193353680218766,here
0.014193353680218766,along
0.014193353680218764,protector
0.014193353680218764,servants
0.014193353680218764,three
0.014193353680218764,roads
0.014193353680218764,chamber
0.014193353680218764,hundreds
0.014193353680218764,me
0.014011183749788658,bankers
0.013752840021441462,ance
0.013357797802131699,secretary
0.013266685536165612,provide
0.01266924060367362,5
0.012500278525108599,unfortunate
0.012089914758234455,'
0.011887753924408148,what
0.011802517308965144,captured
0.01164519495699845,energy
0.011635042409018026,enforce
0.011543933384529652,total
0.011543933384529652,paid
0.011543933384529652,increasing
0.011543933384529652,move
0.011543933384529652,even
0.011543933384529652,bill
0.01154393338452965,raising
0.01144945805243515,pay
0.011112247296154426,others
0.010946629239177774,urgency
0.010909912059049232,added
0.01088856467531503,land
0.010854317161856253,plan
0.010796310432307728,full
0.010796310432307728,them
0.010796310432307728,ness
0.009832235113904736,an
0.009689659252985372,city
0.009542177539216684,system
0.009531415680960165,general
0.009453080492997368,indicate
0.009449554702785806,structure
0.009449554702785806,at
0.009449554702785806,early
0.00937131881249402,raises
0.008946814477782783,3
0.008834946007633744,more
0.0086458698154811,40
0.008578096045990734,than
0.008534790922918548,go
0.007978843238534372,future
0.007867963650009732,family
0.007587200046349579,experience
0.007430054812633942,rather
0.007430054812633942,hands
0.007430054812633942,there
0.007430054812633942,name
0.007430054812633942,strip
0.007430054812633942,need
0.007430054812633942,then
0.007430054812633942,some
0.007430054812633942,most
0.007430054812633941,contribution
0.007430054812633941,call
0.00743005481263394,live
0.00743005481263394,blessing
0.007308291326621713,doing
0.007267801458037515,poor
0.007233071875369922,last
0.007185886721955942,holding
0.007040598621585625,heights
0.006932462863147304,either
0.006863186384018213,countryside
0.006850391464250992,earnings
0.006467711053132061,20
0.006467711053132061,65
0.006467711053132061,had
0.006467711053132061,rise
0.006450928429678426,attorney
0.005867984572280716,color
0.005535572140794323,economy
0.00529183280544554,means
0.005244333914074972,your
0.0050065402876962595,nature
0.0049938285380818626,ities
0.004812819995898124,22
0.004746898340184203,workers
0.004707483774746793,1964
0.004659766315649905,efficiency
0.004651826227382291,living
0.00447320773238076,1965
0.004234423626118231,8
0.0033662556196737887,shared
0.0033662556196737883,enough
0.0033662556196737883,knowledge
0.0033662556196737883,come
0.0033662556196737883,painfully
0.0033662556196737883,slowly
0.0033662556196737883,yet
0.003366255619673788,wealth
0.003366255619673788,victory
0.003366255619673788,edge
0.003366255619673788,flower
0.003366255619673787,genius
0.003366255619673787,spurs
0.0029085075265579685,was
0.002656684901894968,establishment
0.002459014376678656,report
0.0024121200448685154,informed
0.002157727420967148,estimates
0.002154508770149277,treasury
0.002148667514961289,preliminary
0.0017740111013458681,invading
0.0015330445976527475,sim
0.0015330445976527475,pl
0.0015330445976527475,ification
0.0013448368170114189,conscience
0.0012654865377730862,afternoon
0.0011480412333567923,ever
0.0008170737956147978,several
0.0007653608222378617,history
0.0007653608222378614,after
0.0005426311380200871,1
0.0005339365703675852,realistic
0.0003826804111189309,/
0.0003826804111189308,million
0.0003826804111189308,jobs
0.00038268041111893077,greater
0.00038268041111893077,corporations
0.0003826804111189307,money
0.0003826804111189307,income
0.0003826804111189307,;
0.0003826804111189307,making
0.0003826804111189307,33
0.00022438488517920185,corporate
0.0001298244913618407,constitutional
